"Age","Job","Marital","Education","Default","Mortgage","Loan","Contact","Outcome"
57,"self-employed","married","university.degree","no","no","no","landline","no"
53,"retired","married","basic.6y","no","yes","no","mobile","yes"
29,"technician","single","university.degree","no","yes","no","mobile","no"
43,"self-employed","married","professional.course","no","yes","no","mobile","yes"
35,"blue-collar","married","basic.9y","no","yes","yes","landline","no"
32,"self-employed","married","university.degree","no","no","no","mobile","yes"
49,"blue-collar","married","basic.6y","unknown","no","no","mobile","no"
30,"unemployed","single","university.degree","no","yes","yes","mobile","no"
42,"admin.","divorced","high.school","unknown","no","no","landline","no"
45,"admin.","single","university.degree","no","no","no","mobile","no"
35,"unemployed","married","basic.4y","no","yes","no","mobile","no"
59,"technician","married","professional.course","no","yes","no","landline","no"
23,"technician","married","professional.course","no","yes","yes","mobile","no"
48,"services","divorced","high.school","unknown","yes","yes","landline","no"
43,"admin.","single","high.school","no","no","no","mobile","no"
38,"management","married","high.school","unknown","no","yes","landline","no"
33,"self-employed","single","high.school","no","yes","yes","mobile","no"
31,"services","single","basic.9y","no","no","no","landline","no"
53,"admin.","divorced","high.school","no","yes","yes","landline","no"
31,"blue-collar","married","basic.6y","unknown","no","no","mobile","no"
49,"admin.","single","unknown","unknown","unknown","unknown","landline","no"
58,"blue-collar","married","basic.4y","unknown","yes","no","mobile","no"
80,"retired","divorced","basic.4y","unknown","yes","no","mobile","yes"
27,"blue-collar","single","basic.9y","unknown","no","no","mobile","no"
48,"blue-collar","married","high.school","no","no","no","landline","no"
29,"unemployed","divorced","university.degree","no","yes","no","landline","no"
37,"technician","single","university.degree","unknown","no","yes","mobile","no"
38,"housemaid","married","basic.4y","unknown","unknown","unknown","mobile","no"
47,"blue-collar","married","basic.6y","unknown","no","no","landline","no"
31,"self-employed","single","professional.course","no","yes","no","mobile","no"
27,"entrepreneur","single","university.degree","no","no","no","mobile","no"
34,"housemaid","single","high.school","no","no","no","mobile","no"
41,"unknown","single","basic.9y","no","no","yes","landline","no"
57,"entrepreneur","married","high.school","no","no","no","mobile","no"
32,"entrepreneur","married","basic.6y","no","no","no","landline","no"
35,"blue-collar","married","basic.4y","unknown","yes","no","landline","no"
68,"technician","married","unknown","no","no","no","mobile","no"
24,"entrepreneur","single","university.degree","no","no","no","mobile","no"
33,"blue-collar","divorced","basic.9y","no","no","no","landline","no"
33,"admin.","divorced","high.school","no","no","no","mobile","no"
95,"retired","divorced","basic.6y","no","no","no","mobile","no"
44,"self-employed","married","high.school","unknown","no","no","mobile","no"
28,"admin.","married","high.school","unknown","no","no","mobile","no"
33,"management","married","high.school","no","no","no","landline","no"
48,"admin.","married","high.school","no","no","no","landline","no"
46,"services","married","unknown","unknown","no","no","mobile","no"
44,"admin.","married","professional.course","no","no","no","mobile","no"
45,"housemaid","divorced","basic.4y","unknown","yes","no","mobile","no"
20,"student","single","basic.4y","no","yes","no","mobile","yes"
31,"admin.","married","university.degree","no","no","no","mobile","yes"
40,"technician","single","university.degree","no","yes","yes","mobile","no"
53,"retired","married","basic.9y","unknown","no","no","mobile","no"
53,"management","single","professional.course","unknown","no","no","mobile","no"
45,"admin.","divorced","basic.9y","no","yes","no","landline","no"
50,"blue-collar","divorced","high.school","no","yes","yes","mobile","yes"
37,"management","divorced","unknown","no","no","yes","mobile","no"
32,"student","single","university.degree","no","yes","no","mobile","no"
22,"technician","single","university.degree","no","yes","no","mobile","no"
43,"entrepreneur","married","basic.9y","unknown","no","no","landline","no"
52,"services","divorced","high.school","unknown","yes","no","landline","no"
56,"entrepreneur","married","basic.4y","unknown","yes","no","mobile","no"
51,"management","married","unknown","no","yes","no","mobile","yes"
50,"self-employed","divorced","university.degree","no","yes","no","mobile","yes"
45,"student","single","unknown","no","unknown","unknown","landline","yes"
30,"blue-collar","single","basic.6y","no","no","no","mobile","no"
31,"entrepreneur","single","basic.9y","no","no","no","landline","yes"
40,"blue-collar","married","basic.4y","no","no","no","landline","no"
28,"self-employed","married","university.degree","no","no","no","mobile","yes"
45,"management","divorced","high.school","no","no","yes","mobile","no"
54,"admin.","divorced","basic.9y","no","yes","no","landline","no"
41,"technician","single","professional.course","no","yes","no","landline","no"
58,"admin.","divorced","university.degree","no","yes","no","mobile","no"
54,"technician","divorced","basic.9y","no","yes","no","landline","no"
48,"blue-collar","married","unknown","no","no","no","mobile","yes"
52,"self-employed","divorced","basic.9y","no","yes","no","mobile","no"
34,"entrepreneur","single","professional.course","no","no","no","landline","no"
52,"admin.","divorced","university.degree","no","no","no","mobile","no"
38,"admin.","single","university.degree","no","yes","yes","landline","no"
59,"blue-collar","married","basic.9y","unknown","yes","no","landline","no"
30,"blue-collar","single","basic.4y","no","yes","no","mobile","no"
58,"technician","married","professional.course","unknown","yes","no","mobile","no"
59,"services","divorced","basic.6y","no","yes","no","mobile","no"
31,"management","divorced","basic.6y","no","no","no","landline","no"
46,"management","single","university.degree","no","no","yes","mobile","no"
37,"unemployed","single","professional.course","no","no","no","landline","no"
46,"services","married","basic.9y","no","no","yes","mobile","no"
24,"technician","single","basic.6y","no","yes","no","landline","no"
41,"self-employed","married","basic.9y","unknown","no","no","mobile","no"
57,"retired","married","basic.4y","no","yes","no","landline","no"
20,"student","single","unknown","no","yes","yes","mobile","yes"
46,"technician","single","professional.course","unknown","no","no","mobile","no"
45,"blue-collar","divorced","basic.4y","unknown","yes","no","mobile","no"
32,"entrepreneur","single","professional.course","no","yes","no","landline","no"
48,"unemployed","married","basic.6y","no","no","no","mobile","yes"
26,"blue-collar","single","high.school","no","no","no","landline","no"
49,"blue-collar","married","unknown","unknown","no","no","mobile","no"
53,"retired","divorced","high.school","no","unknown","unknown","landline","no"
60,"management","married","high.school","no","yes","no","mobile","yes"
35,"technician","married","basic.6y","no","yes","yes","landline","no"
34,"admin.","single","university.degree","unknown","yes","no","mobile","no"
33,"blue-collar","divorced","basic.9y","no","no","no","mobile","no"
24,"unemployed","married","university.degree","no","yes","no","landline","no"
34,"blue-collar","married","high.school","no","no","no","mobile","no"
27,"admin.","single","basic.9y","no","yes","yes","landline","no"
24,"admin.","single","high.school","unknown","no","no","mobile","no"
44,"entrepreneur","divorced","university.degree","no","yes","no","mobile","no"
48,"admin.","divorced","basic.9y","no","yes","no","landline","no"
32,"technician","single","university.degree","no","yes","no","landline","no"
48,"services","married","high.school","unknown","yes","no","landline","no"
58,"blue-collar","divorced","basic.4y","no","yes","no","mobile","no"
35,"student","single","unknown","no","yes","no","mobile","yes"
75,"retired","divorced","basic.4y","no","yes","yes","mobile","no"
54,"blue-collar","divorced","unknown","unknown","no","no","mobile","no"
43,"admin.","married","professional.course","unknown","no","no","mobile","no"
49,"technician","married","high.school","unknown","no","no","mobile","no"
46,"retired","married","basic.9y","no","yes","yes","mobile","yes"
33,"services","single","high.school","no","yes","yes","mobile","no"
42,"technician","married","university.degree","no","yes","no","mobile","no"
62,"blue-collar","married","basic.4y","no","yes","yes","mobile","no"
45,"blue-collar","single","high.school","no","no","no","mobile","no"
32,"technician","single","university.degree","no","yes","yes","mobile","no"
54,"blue-collar","single","unknown","no","yes","no","mobile","no"
45,"housemaid","single","university.degree","no","yes","no","mobile","yes"
41,"blue-collar","married","unknown","no","yes","yes","mobile","no"
45,"admin.","married","basic.9y","no","no","no","mobile","no"
56,"retired","divorced","basic.4y","no","yes","no","landline","no"
57,"blue-collar","divorced","unknown","unknown","unknown","unknown","landline","no"
46,"self-employed","divorced","university.degree","no","no","no","mobile","yes"
26,"services","single","university.degree","no","yes","no","mobile","no"
39,"admin.","single","university.degree","no","unknown","unknown","mobile","yes"
57,"blue-collar","divorced","basic.4y","no","no","no","mobile","no"
22,"blue-collar","single","basic.4y","unknown","yes","no","mobile","no"
37,"admin.","married","high.school","no","unknown","unknown","landline","no"
45,"admin.","married","university.degree","no","no","no","mobile","no"
45,"blue-collar","married","basic.9y","unknown","no","no","mobile","no"
56,"technician","married","professional.course","unknown","yes","no","landline","no"
60,"retired","married","basic.6y","unknown","yes","no","mobile","no"
28,"admin.","single","basic.9y","no","no","no","landline","no"
25,"unemployed","married","high.school","unknown","unknown","unknown","mobile","no"
56,"technician","divorced","professional.course","no","yes","no","mobile","no"
49,"technician","married","unknown","no","unknown","unknown","mobile","yes"
44,"management","married","high.school","no","yes","no","mobile","no"
45,"self-employed","married","basic.4y","no","unknown","unknown","mobile","no"
55,"retired","married","professional.course","no","no","yes","mobile","no"
49,"blue-collar","married","basic.6y","unknown","no","yes","mobile","no"
33,"technician","single","professional.course","unknown","yes","no","landline","no"
51,"services","married","high.school","no","no","no","mobile","yes"
34,"blue-collar","married","high.school","no","yes","no","mobile","no"
31,"technician","single","unknown","no","no","no","mobile","no"
39,"entrepreneur","married","unknown","no","yes","yes","mobile","no"
51,"management","married","high.school","unknown","yes","no","mobile","no"
30,"blue-collar","married","basic.4y","no","yes","yes","mobile","no"
33,"blue-collar","divorced","basic.6y","unknown","yes","no","landline","no"
47,"entrepreneur","married","university.degree","no","yes","yes","mobile","no"
33,"blue-collar","married","basic.6y","no","no","yes","mobile","no"
53,"blue-collar","married","basic.9y","unknown","yes","yes","mobile","no"
35,"technician","single","university.degree","no","yes","yes","mobile","no"
35,"technician","married","university.degree","no","unknown","unknown","mobile","no"
28,"blue-collar","single","professional.course","no","no","no","mobile","yes"
27,"self-employed","single","university.degree","no","unknown","unknown","mobile","no"
49,"services","divorced","basic.6y","unknown","yes","yes","mobile","no"
38,"technician","single","high.school","unknown","no","no","mobile","no"
29,"technician","married","university.degree","no","no","yes","mobile","yes"
39,"blue-collar","married","basic.6y","unknown","yes","no","landline","yes"
32,"admin.","married","professional.course","unknown","yes","no","mobile","no"
44,"technician","married","basic.9y","no","yes","no","landline","no"
62,"entrepreneur","married","basic.9y","no","yes","no","mobile","no"
45,"entrepreneur","married","basic.9y","no","no","no","landline","no"
33,"technician","single","basic.9y","no","yes","no","mobile","yes"
51,"blue-collar","married","high.school","no","no","no","landline","no"
39,"unemployed","divorced","high.school","no","no","no","mobile","no"
39,"blue-collar","married","high.school","no","yes","no","landline","yes"
32,"technician","single","unknown","no","yes","yes","mobile","no"
46,"blue-collar","single","basic.4y","unknown","yes","no","landline","no"
29,"admin.","single","unknown","no","yes","no","mobile","no"
38,"admin.","single","university.degree","unknown","no","no","mobile","no"
35,"management","married","professional.course","no","yes","yes","landline","no"
54,"unemployed","single","basic.6y","no","yes","yes","landline","no"
28,"technician","married","university.degree","no","yes","yes","mobile","no"
46,"management","married","basic.4y","unknown","yes","no","landline","no"
46,"unemployed","divorced","basic.4y","no","no","no","mobile","no"
34,"management","married","university.degree","no","no","yes","landline","no"
25,"admin.","single","high.school","no","no","no","mobile","no"
36,"services","divorced","high.school","no","no","no","mobile","no"
38,"blue-collar","married","professional.course","no","yes","yes","landline","yes"
51,"retired","married","basic.9y","no","yes","no","landline","no"
50,"entrepreneur","married","professional.course","no","yes","yes","mobile","no"
39,"services","married","basic.9y","unknown","yes","yes","landline","no"
35,"management","divorced","university.degree","no","no","no","mobile","yes"
51,"admin.","married","basic.6y","no","no","yes","mobile","no"
50,"management","married","basic.4y","unknown","no","no","landline","no"
34,"entrepreneur","married","university.degree","no","no","no","landline","yes"
64,"unknown","married","unknown","no","yes","no","landline","yes"
53,"blue-collar","single","unknown","no","yes","no","mobile","no"
26,"services","single","high.school","no","unknown","unknown","mobile","no"
49,"housemaid","divorced","basic.6y","no","yes","no","landline","no"
37,"blue-collar","single","university.degree","unknown","yes","no","mobile","no"
29,"admin.","single","university.degree","no","yes","yes","landline","no"
47,"admin.","divorced","high.school","unknown","no","no","mobile","no"
42,"blue-collar","married","basic.9y","unknown","no","no","landline","no"
57,"services","married","high.school","no","no","no","mobile","no"
51,"admin.","married","professional.course","no","no","no","mobile","no"
35,"unemployed","married","high.school","no","no","yes","landline","no"
78,"unknown","divorced","unknown","unknown","yes","no","mobile","yes"
35,"student","single","university.degree","unknown","no","no","landline","no"
19,"student","single","unknown","no","yes","yes","mobile","yes"
48,"services","married","professional.course","no","no","no","mobile","no"
48,"services","single","unknown","no","yes","no","mobile","no"
43,"admin.","married","professional.course","no","no","yes","landline","no"
46,"admin.","married","high.school","no","yes","yes","landline","yes"
44,"services","divorced","high.school","no","yes","no","mobile","no"
50,"technician","married","university.degree","no","yes","no","mobile","no"
50,"technician","married","high.school","unknown","yes","yes","landline","no"
47,"blue-collar","married","basic.9y","unknown","yes","no","landline","no"
44,"services","married","high.school","no","yes","yes","mobile","yes"
35,"self-employed","single","professional.course","no","yes","no","mobile","no"
31,"blue-collar","married","university.degree","no","yes","no","mobile","no"
46,"technician","divorced","high.school","no","yes","no","mobile","yes"
60,"blue-collar","married","basic.9y","unknown","no","no","landline","no"
33,"technician","married","high.school","no","unknown","unknown","mobile","no"
56,"retired","married","university.degree","no","yes","no","landline","no"
45,"technician","divorced","basic.9y","no","no","no","mobile","no"
45,"entrepreneur","divorced","university.degree","no","no","yes","mobile","no"
69,"housemaid","married","basic.4y","no","yes","yes","mobile","yes"
54,"admin.","married","university.degree","no","yes","no","landline","no"
45,"blue-collar","married","basic.6y","no","yes","no","mobile","no"
41,"blue-collar","single","basic.9y","no","no","no","landline","no"
32,"admin.","divorced","university.degree","no","yes","no","landline","no"
30,"services","single","high.school","no","no","no","landline","no"
39,"technician","divorced","professional.course","no","yes","no","mobile","yes"
38,"blue-collar","married","basic.9y","no","no","no","landline","yes"
36,"blue-collar","married","high.school","no","yes","no","mobile","no"
31,"admin.","married","basic.9y","unknown","yes","no","landline","no"
42,"self-employed","married","unknown","no","yes","no","mobile","no"
57,"admin.","divorced","university.degree","unknown","no","no","mobile","no"
34,"services","married","high.school","unknown","no","no","mobile","no"
58,"self-employed","divorced","professional.course","no","yes","no","landline","no"
53,"technician","divorced","high.school","no","yes","yes","mobile","no"
38,"admin.","married","university.degree","no","yes","no","landline","no"
38,"services","single","high.school","no","no","no","landline","no"
40,"technician","married","university.degree","no","yes","yes","mobile","no"
69,"retired","single","basic.4y","no","yes","no","mobile","yes"
34,"technician","married","university.degree","no","no","no","landline","no"
49,"blue-collar","married","basic.6y","no","yes","no","landline","no"
33,"technician","married","unknown","no","yes","no","mobile","no"
46,"blue-collar","divorced","basic.6y","no","yes","no","landline","no"
58,"management","married","basic.9y","no","no","no","landline","no"
48,"admin.","single","university.degree","no","no","yes","landline","no"
33,"services","married","high.school","no","yes","yes","mobile","no"
46,"blue-collar","married","basic.4y","no","no","no","mobile","no"
53,"retired","divorced","professional.course","unknown","yes","yes","landline","no"
54,"blue-collar","married","professional.course","no","no","no","landline","no"
28,"services","single","high.school","no","no","yes","mobile","yes"
37,"housemaid","married","university.degree","no","no","no","mobile","yes"
59,"admin.","married","unknown","no","yes","no","mobile","yes"
30,"self-employed","married","university.degree","no","yes","yes","landline","no"
29,"technician","single","unknown","no","yes","yes","mobile","no"
37,"services","married","basic.6y","no","no","no","landline","no"
29,"entrepreneur","married","basic.6y","no","no","no","landline","no"
33,"management","single","university.degree","no","yes","yes","mobile","no"
57,"unemployed","divorced","basic.4y","no","yes","no","mobile","yes"
41,"unemployed","married","basic.9y","no","yes","no","mobile","no"
57,"admin.","divorced","university.degree","no","yes","no","landline","yes"
38,"technician","divorced","professional.course","no","yes","yes","landline","no"
54,"services","single","basic.6y","unknown","no","no","mobile","no"
36,"blue-collar","single","basic.4y","no","yes","no","mobile","no"
36,"services","married","high.school","unknown","yes","yes","landline","no"
37,"blue-collar","married","basic.4y","no","no","no","mobile","no"
46,"entrepreneur","married","basic.4y","no","no","no","mobile","no"
55,"blue-collar","married","basic.4y","no","yes","yes","mobile","no"
53,"admin.","single","professional.course","no","no","no","landline","no"
60,"retired","married","university.degree","unknown","yes","no","mobile","no"
43,"entrepreneur","divorced","high.school","no","yes","no","landline","no"
41,"management","married","university.degree","unknown","yes","no","mobile","yes"
57,"blue-collar","divorced","basic.4y","no","yes","no","mobile","yes"
34,"technician","married","professional.course","unknown","yes","no","landline","no"
44,"self-employed","married","high.school","no","no","no","mobile","yes"
24,"technician","single","professional.course","no","yes","no","landline","no"
46,"blue-collar","divorced","basic.6y","unknown","no","no","mobile","no"
26,"technician","single","high.school","no","yes","no","landline","no"
26,"blue-collar","married","basic.9y","no","no","yes","landline","no"
39,"student","single","professional.course","no","yes","yes","mobile","yes"
37,"self-employed","married","university.degree","no","no","no","landline","no"
30,"blue-collar","divorced","basic.6y","no","no","no","mobile","no"
39,"technician","single","university.degree","no","yes","yes","mobile","no"
52,"unemployed","divorced","high.school","no","yes","yes","mobile","no"
44,"retired","married","professional.course","no","yes","no","mobile","yes"
44,"management","married","basic.9y","unknown","no","no","landline","no"
39,"technician","single","professional.course","no","no","no","mobile","no"
44,"retired","single","basic.4y","no","yes","yes","landline","no"
23,"student","single","university.degree","no","no","yes","mobile","yes"
54,"blue-collar","married","high.school","no","yes","no","landline","no"
39,"admin.","single","university.degree","unknown","no","no","landline","no"
45,"services","married","high.school","unknown","yes","no","mobile","no"
43,"technician","single","university.degree","no","no","yes","mobile","no"
32,"blue-collar","single","basic.6y","no","yes","no","landline","no"
54,"self-employed","married","professional.course","no","no","no","mobile","no"
41,"technician","married","professional.course","no","yes","yes","mobile","no"
35,"management","married","high.school","no","yes","yes","mobile","no"
94,"retired","married","basic.9y","no","no","no","mobile","no"
25,"student","married","university.degree","no","yes","yes","landline","no"
31,"services","single","high.school","no","no","yes","mobile","no"
64,"admin.","married","unknown","no","no","no","mobile","yes"
31,"admin.","married","unknown","no","yes","no","mobile","no"
39,"blue-collar","married","high.school","unknown","no","no","mobile","no"
30,"admin.","single","high.school","no","unknown","unknown","landline","no"
30,"admin.","single","university.degree","no","yes","no","landline","no"
49,"housemaid","married","basic.4y","no","no","yes","mobile","yes"
21,"student","single","unknown","no","no","no","landline","no"
29,"blue-collar","married","high.school","no","no","no","mobile","no"
31,"entrepreneur","married","university.degree","no","yes","no","landline","no"
40,"management","married","high.school","no","no","no","landline","no"
48,"management","married","basic.9y","no","yes","no","landline","no"
30,"unemployed","divorced","high.school","no","yes","no","mobile","no"
35,"admin.","married","unknown","no","yes","no","mobile","yes"
43,"blue-collar","married","basic.9y","no","no","no","landline","yes"
38,"housemaid","married","high.school","unknown","no","no","landline","no"
31,"entrepreneur","single","basic.9y","no","no","no","mobile","no"
33,"blue-collar","single","basic.4y","no","unknown","unknown","mobile","no"
43,"blue-collar","married","high.school","no","yes","no","landline","no"
38,"technician","single","professional.course","no","yes","no","landline","no"
50,"admin.","single","university.degree","no","yes","no","mobile","yes"
30,"student","single","unknown","unknown","no","no","landline","no"
38,"admin.","married","high.school","no","no","yes","mobile","no"
51,"blue-collar","divorced","basic.9y","no","no","yes","mobile","no"
57,"services","married","professional.course","no","yes","no","mobile","no"
34,"admin.","single","high.school","no","unknown","unknown","landline","no"
52,"technician","divorced","university.degree","no","yes","no","mobile","no"
39,"blue-collar","divorced","basic.9y","no","unknown","unknown","landline","no"
37,"admin.","divorced","high.school","no","yes","no","mobile","no"
45,"admin.","divorced","high.school","unknown","yes","yes","mobile","yes"
29,"student","single","high.school","unknown","no","no","mobile","no"
38,"technician","married","professional.course","unknown","no","no","mobile","no"
33,"unemployed","single","basic.9y","no","yes","no","landline","no"
31,"entrepreneur","divorced","university.degree","no","no","no","mobile","no"
30,"management","married","university.degree","no","no","no","landline","no"
37,"admin.","divorced","high.school","no","yes","yes","landline","no"
57,"management","single","basic.9y","no","no","no","landline","no"
43,"blue-collar","married","basic.4y","unknown","unknown","unknown","mobile","no"
51,"admin.","divorced","professional.course","no","yes","no","mobile","no"
59,"housemaid","married","basic.4y","unknown","yes","yes","mobile","no"
49,"services","married","basic.4y","no","yes","no","mobile","no"
59,"housemaid","married","basic.4y","no","no","yes","mobile","no"
44,"technician","divorced","university.degree","unknown","yes","yes","landline","no"
52,"self-employed","married","university.degree","no","yes","no","landline","no"
34,"blue-collar","married","professional.course","unknown","no","no","mobile","no"
54,"self-employed","married","university.degree","no","no","yes","mobile","no"
52,"management","married","university.degree","unknown","no","no","mobile","no"
51,"services","married","professional.course","unknown","no","no","landline","no"
39,"technician","divorced","high.school","no","yes","no","landline","no"
43,"blue-collar","single","basic.9y","no","no","no","landline","no"
30,"services","divorced","high.school","unknown","yes","no","landline","no"
47,"blue-collar","single","basic.4y","no","no","no","landline","no"
22,"student","single","basic.4y","no","yes","yes","mobile","yes"
40,"blue-collar","divorced","basic.9y","unknown","yes","no","landline","no"
31,"blue-collar","divorced","basic.6y","no","no","no","landline","no"
55,"services","married","basic.4y","no","no","yes","mobile","no"
27,"admin.","married","high.school","no","yes","no","landline","no"
56,"blue-collar","married","basic.9y","unknown","no","yes","mobile","yes"
38,"self-employed","single","unknown","no","no","no","mobile","no"
25,"blue-collar","single","basic.9y","no","no","no","landline","no"
64,"housemaid","divorced","basic.4y","unknown","no","no","mobile","yes"
40,"admin.","married","high.school","no","yes","no","landline","no"
30,"services","married","basic.9y","unknown","yes","no","mobile","no"
44,"technician","married","professional.course","unknown","yes","yes","mobile","no"
53,"management","divorced","university.degree","no","yes","no","mobile","no"
41,"blue-collar","married","basic.4y","unknown","no","no","mobile","no"
45,"housemaid","married","university.degree","no","yes","no","landline","no"
55,"retired","married","professional.course","no","yes","yes","mobile","no"
38,"blue-collar","single","basic.9y","unknown","no","no","landline","no"
28,"technician","married","professional.course","no","yes","no","mobile","yes"
36,"unemployed","married","high.school","no","no","no","landline","no"
45,"self-employed","married","basic.4y","unknown","no","no","mobile","no"
38,"housemaid","married","high.school","no","no","no","landline","no"
32,"technician","married","unknown","unknown","yes","no","landline","no"
44,"blue-collar","married","unknown","no","no","yes","landline","no"
33,"technician","single","basic.9y","no","yes","no","mobile","no"
47,"admin.","married","basic.9y","no","yes","no","landline","no"
28,"admin.","single","university.degree","no","yes","no","mobile","no"
41,"entrepreneur","married","basic.6y","no","yes","no","mobile","yes"
50,"entrepreneur","married","basic.4y","no","no","no","landline","no"
58,"retired","married","basic.4y","no","no","no","mobile","yes"
48,"admin.","divorced","high.school","no","no","yes","mobile","yes"
57,"entrepreneur","divorced","high.school","no","unknown","unknown","mobile","no"
28,"blue-collar","married","basic.6y","no","no","no","landline","no"
46,"admin.","single","high.school","no","no","no","mobile","yes"
35,"technician","single","professional.course","no","no","yes","mobile","yes"
61,"retired","divorced","university.degree","no","no","no","mobile","yes"
38,"services","single","high.school","no","yes","no","landline","no"
25,"management","single","university.degree","no","yes","yes","mobile","no"
29,"student","single","professional.course","no","yes","no","mobile","no"
41,"admin.","single","university.degree","no","no","yes","mobile","yes"
27,"student","single","university.degree","no","no","no","landline","no"
33,"blue-collar","single","high.school","no","yes","no","landline","yes"
60,"housemaid","married","basic.4y","no","yes","no","mobile","no"
40,"unemployed","divorced","university.degree","no","no","no","mobile","no"
49,"housemaid","single","unknown","no","no","no","landline","yes"
52,"entrepreneur","married","basic.9y","unknown","yes","no","mobile","no"
40,"blue-collar","single","basic.6y","unknown","no","yes","mobile","no"
40,"services","married","university.degree","no","yes","no","mobile","no"
36,"technician","single","professional.course","unknown","no","no","mobile","no"
36,"blue-collar","single","university.degree","unknown","yes","no","landline","no"
34,"technician","married","professional.course","unknown","no","yes","landline","no"
52,"admin.","single","basic.6y","no","no","no","landline","yes"
26,"unemployed","single","professional.course","no","no","no","landline","no"
57,"admin.","single","basic.9y","no","yes","no","mobile","no"
42,"self-employed","divorced","university.degree","no","yes","no","mobile","no"
37,"technician","single","professional.course","unknown","yes","no","mobile","no"
52,"technician","single","basic.4y","unknown","yes","no","mobile","no"
55,"blue-collar","married","basic.4y","unknown","yes","yes","mobile","no"
26,"technician","single","professional.course","no","no","yes","mobile","yes"
39,"services","single","high.school","no","yes","no","landline","no"
43,"unemployed","married","professional.course","no","no","no","landline","no"
43,"blue-collar","married","basic.4y","unknown","yes","no","mobile","no"
29,"technician","single","professional.course","no","no","no","mobile","yes"
54,"services","married","basic.9y","no","yes","yes","mobile","no"
28,"self-employed","single","university.degree","no","no","no","mobile","no"
47,"retired","married","university.degree","no","no","no","mobile","yes"
32,"unknown","unknown","university.degree","no","no","no","landline","no"
42,"admin.","married","university.degree","no","yes","no","mobile","no"
52,"technician","married","high.school","no","yes","yes","landline","no"
46,"admin.","divorced","university.degree","no","yes","yes","landline","no"
57,"self-employed","single","high.school","unknown","no","no","landline","no"
40,"admin.","divorced","high.school","no","no","no","landline","yes"
32,"blue-collar","married","basic.4y","no","no","no","landline","no"
40,"self-employed","married","basic.9y","unknown","no","no","mobile","yes"
35,"technician","married","high.school","no","yes","yes","mobile","no"
34,"self-employed","single","basic.9y","no","no","no","mobile","no"
33,"blue-collar","divorced","basic.9y","unknown","no","no","mobile","no"
44,"technician","single","university.degree","no","no","no","mobile","yes"
42,"services","married","basic.6y","no","no","no","mobile","yes"
51,"housemaid","married","basic.4y","no","yes","no","landline","yes"
43,"housemaid","married","university.degree","no","yes","no","mobile","yes"
29,"blue-collar","single","basic.6y","no","no","no","landline","no"
52,"retired","married","university.degree","no","yes","yes","mobile","yes"
28,"admin.","single","high.school","no","yes","no","mobile","yes"
56,"retired","married","basic.6y","no","yes","yes","mobile","yes"
58,"unknown","married","unknown","unknown","no","no","landline","no"
45,"entrepreneur","married","high.school","no","yes","no","landline","no"
44,"self-employed","married","university.degree","no","yes","no","mobile","no"
50,"services","married","basic.9y","unknown","yes","yes","mobile","no"
55,"retired","divorced","professional.course","no","no","no","landline","no"
43,"admin.","divorced","high.school","no","no","no","mobile","no"
